Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
1834,Chinese-Style Ceremonial Costume of King (Hibenhuku),Clothing and Costumes,Fabrics,436,China,Silk,130.00 cm,18th-19th century,1714,costume; Okinawa; Japan; dragon,https://artcrimes.fbi.gov/nsaf/chinese-style-ceremonial-costume-of-king-hibenhuku/HibenhukuRobe.gif/@@images/image/thumb
1835,Navajo Late Classic Serape (Indigo Blue and Faded Colors),"other,textiles",Fabrics,860,Navajo,Wool,67 x 50 in,1875,1875,blanket; geometric; diamonds; red; black; white,https://artcrimes.fbi.gov/nsaf/navajo-late-classic-serape-indigo-blue-and-faded-colors/NavajoIndigoAndFaded.gif/@@images/image/thumb
1836,Faberge Art nouveau flower holder,Other - Arts and Antiques,Miscellaneous,956,Michael Evlampievich Perchin; Faberge,,,,,flower holder; art nouveau,https://artcrimes.fbi.gov/nsaf/faberge-art-nouveau-flower-holder/seal-fbi.jpg/@@images/image/thumb
1837,A Hawking Party Resting at a Wayside Inn,Paintings,Physical Art,584,Pieter Wouwermans,Oil on canvas,19 x 25 in,1623-1682,1653,painting; Dutch; exterior; men; horses; riding; trees; clouds; wagon; hat; feathers,https://artcrimes.fbi.gov/nsaf/a-hawking-party-resting-at-a-wayside-inn/HawkingParty.gif/@@images/image/thumb
1838,Parrot Necklace and Bracelet,"other,jewelry",Accessories,361,Andreas von Zadora Gerlof,"watermelon and green tourmaline, citrine, canary diamonds, cabochon rubies, gold","Necklace diameter 6.5""; Bracelet diameter 3""",,,,https://artcrimes.fbi.gov/nsaf/parrot-necklace-and-bracelet/ParrotNecklaceBracelet.gif/@@images/image/thumb
1839,Eva and Baby,Print,Physical Art,893,Edna Hibel,Lithograph,,20th Century,1979,print; portrait; woman; kerchief; infant; signed; Portfolio # 465,https://artcrimes.fbi.gov/nsaf/eva-and-baby/seal-fbi.jpg/@@images/image/thumb
1840,Lizard Pendant,"other,jewelry",Accessories,461,Akan,Gold,9.30 x 6.50 cm,1600-1800 A.D.,1600,jewelry; lizard,https://artcrimes.fbi.gov/nsaf/lizard-pendant-id-021580/LizardPendant021580.jpg/@@images/image/thumb
1841,De Klompenmaker,Sculpture,Figures,958,,Bronze,,,,statue; figure; standing,https://artcrimes.fbi.gov/nsaf/de-klompenmaker/DeKlopenmaker.gif/@@images/image/thumb
1842,Martin Schleske Violin,stringinstruments,Instruments,866,Martin Schleske,Wood,,2000,2000,violin; musical instrument,https://artcrimes.fbi.gov/nsaf/martin-schleske-violin/MartinSchleskeViolin.gif/@@images/image/thumb
1843,"Native American Bowl, Black Fire-cloud",Bowls,Containers,205,Native American,Ceramic,H,13th Century,1285,bowl; geometric; Southwest; red; Number 77.1.8/BG406,https://artcrimes.fbi.gov/nsaf/native-american-bowl-black-fire-cloud/NAB23.gif/@@images/image/thumb
1844,Untitled Pablo Picasso Print,Print,Physical Art,160,Pablo Picasso,Lithograph,12 x 14 in,,,print; modern art; figure; face; signed,https://artcrimes.fbi.gov/nsaf/untitled-pablo-picasso-print/PicassoPrint.gif/@@images/image/thumb
1845,Mums and Daisies,Paintings,Physical Art,610,Rudy Colao,Oil on panel,24 x 20 in,20th Century,1990,painting; still life; flowers; vase; signed lower left,https://artcrimes.fbi.gov/nsaf/mums-and-daisies/MumsAndDasies.gif/@@images/image/thumb
1846,Bremin's Cog,Sculpture,Figures,604,John Dreyfuss,Cast bronze,Width,1992,1992,,https://artcrimes.fbi.gov/nsaf/bremins-cog/BreminsCog.gif/@@images/image/thumb
1847,Volcano Pot,Ornamental Ceramic Wares,Containers,1139,Stella Chavarria,Ceramic,Height,,,,https://artcrimes.fbi.gov/nsaf/volcano-pot/01139_picture_10.jpg/@@images/image/thumb
1848,Terrier Rabbiting,Paintings,Physical Art,361,Geroge Armfield,Oil on canvas,"20"" x 24""",,,Signed lower right,https://artcrimes.fbi.gov/nsaf/terrier-rabbiting/TerrierRabbiting.jpg/@@images/image/thumb
1849,The Bather (Raymond),Paintings,Physical Art,154,Walter Pach,Oil on canvas,34 x 24 in,1931,1931,painting; man; sitting; stool; bathing suit; robe; signed,https://artcrimes.fbi.gov/nsaf/the-bather-raymond/TheBather.gif/@@images/image/thumb
1850,Alexander Graham Bell Letter,Books,Physical Art,892,Alexander Graham Bell,Paper,,,,manuscript; Alexander Graham Bell,https://artcrimes.fbi.gov/nsaf/alexander-graham-bell-letter/seal-fbi.jpg/@@images/image/thumb
1851,Style #18 Langue,Ornamental Ceramic Wares,Containers,1139,Joy Navasie (Frog Woman),Ceramic,Height,,,,https://artcrimes.fbi.gov/nsaf/style-18-langue/01139_picture_34.jpg/@@images/image/thumb
1852,Beaker with Man on Turtle shaped stem,Other - Arts and Antiques,Miscellaneous,462,,shell nautilus silver gilt,30.30 cm,Late 16th Century,1564,beaker; shell; nautilus; turtle; man,https://artcrimes.fbi.gov/nsaf/beaker-with-man-on-turtle-shaped-stem/ManOnTurtleBeaker.gif/@@images/image/thumb
1853,Landscape with an Obelisk,Paintings,Physical Art,1159,Govaert Flinck,Oil on panel oak,21.5 x 28 in,1630,1630,painting; Dutch; realism; landscape; obelisk; bridge; trees; man; walking; horse; riding; dog; mill Inscribed faintly at the foot on the right,https://artcrimes.fbi.gov/nsaf/landscape-with-an-obelisk/LandscapeObelisk.gif/@@images/image/thumb
1854,Portrait of Martin Buber,Print,Physical Art,48,Andy Warhol,Silk screen,"40"" x 32""",1980,1980,Signed by Andy Warhol in lower right corner; #73/200,https://artcrimes.fbi.gov/nsaf/portrait-of-martin-buber/PortraitMartinBuber.jpg/@@images/image/thumb
1855,Lapis Frog Letter Opener,Other - Arts and Antiques,Miscellaneous,911,Zadora Limited,Lapis; lazuli; gold; diamond,,20th Century,1960,"letter opener; frog; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/lapis-frog-letter-opener/seal-fbi.jpg/@@images/image/thumb
1856,View of Bay,Paintings,Physical Art,1050,Louis Aston Knight,Oil,12 x 15 in,1873-1948,1911,painting; water; bay; Serial #98316,https://artcrimes.fbi.gov/nsaf/view-of-bay/seal-fbi.jpg/@@images/image/thumb
1857,"Orbs, Four Open",Paintings,Physical Art,6,Alexander Calder,Gouache,73.75 x 106.25 cm,1964,1964,painting; abstract art; red; black; circles; signed and dated lower right,https://artcrimes.fbi.gov/nsaf/orbs-four-open/FourOpen.gif/@@images/image/thumb
1858,Courtyard,Print,Physical Art,861,Crayon,Lithograph,8 x 8.75 in,1960s,1960,print; courtyard,https://artcrimes.fbi.gov/nsaf/courtyard/courtyard.jpg/@@images/image/thumb
1859,Human Face Pendant,"other,jewelry",Accessories,461,Akan,Gold,9.50 x 2.50 cm,1600-1800,1700,jewelry; human face,https://artcrimes.fbi.gov/nsaf/human-face-pendant-id-021586/HumanFacePendant021586.jpg/@@images/image/thumb
1860,Peruvian diplomatic communique 4/5,Other - Collectibles,,1128,,Paper,,,,,https://artcrimes.fbi.gov/nsaf/peruvian-diplomatic-communique-4-5/01128_picture_4.jpg/@@images/image/thumb
1861,L'Avenue Melior a Pennes,Paintings,Physical Art,1124,Claude Pissarro,Oil on canvas,Height,Early 1900s,1900,"Signed 'H. Claude Pissaro' in the lower right Signature and title on the back No damage, was in a gold colored frame",https://artcrimes.fbi.gov/nsaf/lavenue-melior-a-pennes/01124_picture.JPG/@@images/image/thumb
1862,Crown of the Immaculate Virgin,Altar,Relgion,475,Spanish Colonial,Gold and silver,38 cm x 17 cm,18th Century,1743,Liturgical object,https://artcrimes.fbi.gov/nsaf/crown-of-the-immaculate-virgin/CrownImmaculateVirgin.gif/@@images/image/thumb
1863,Rabbit Crouched,Sculpture,Figures,781,Antoine Louis Barye,"Bronze sand casting, brown patina",1 5/8in. height 2 3/4in. length,,,Signed by Antoine Louis Barye,https://artcrimes.fbi.gov/nsaf/rabbit-crouched/00781_picture_2.jpg/@@images/image/thumb
1864,Belcher Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,8.50 cm,600 AD,600,"pottery; incised design with heavy white pigment in rim and shoulder lines, traces of pigment in negative areas, repeating slanted line motif on shoulder; missing rim pieces",https://artcrimes.fbi.gov/nsaf/belcher-engraved-bowl-id-020729/BelcherBowl729.gif/@@images/image/thumb
1865,Summer Cottage,Paintings,Physical Art,953,Bruce McKain,Oil,24.25 x 29.25 in,Circa 1935,1935,"painting; house; cottage; ""Bruce McKain Summer Cottage #4"" near top center verso in pencil; ""5306"" on verso on top stretcher in pencil; Brass tag",https://artcrimes.fbi.gov/nsaf/summer-cottage/seal-fbi.jpg/@@images/image/thumb
1866,Stone Flower - Red,Print,Physical Art,697,Hideo Hagiwara,Ink on paper,36 x 24 in,1960,1960,"print; abstract art; red; black; Signed, titled and numbered in pencil; Japan; Artist Proof (edition 30)",https://artcrimes.fbi.gov/nsaf/stone-flower-red/StoneFlowerRed.gif/@@images/image/thumb
1867,Silver Gilded Tankards,Ornamental Ceramic Wares,Containers,462,Germany; Hans Ment,Silver gilt,13.40 cm,Late 16th Century,1568,tankard,https://artcrimes.fbi.gov/nsaf/silver-gilded-tankards/SilverTankards.gif/@@images/image/thumb
1868,Heliodorus,Books,Physical Art,895,Heliodorus of Emesa,Printed paper,23.00 cm,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/heliodorus/seal-fbi.jpg/@@images/image/thumb
1869,Cylinder Vase,Vase,Containers,881,Venini &Co.,Glass,9 in,,,vase,https://artcrimes.fbi.gov/nsaf/cylinder-vase/CylinderVase.gif/@@images/image/thumb
1870,Batman - Green,Print,Physical Art,237,Andy Warhol,Silkscreen,,,,"print; Batman; comic; #6, 7, 9, 10, 11, 16, 17, 18-36 of 100",https://artcrimes.fbi.gov/nsaf/batman-green/BatmanGreen.gif/@@images/image/thumb
1871,Sculpteur Avec Coupe et Modele Accroupi,Print,Physical Art,1074,Pablo Picasso,Etching,10 1/2 x 7 5/8 in,1933,1933,print; man; woman; crouching; Signed in pencil in the lower right margin; Number 37/250,https://artcrimes.fbi.gov/nsaf/sculpteur-avec-coupe-et-modele-accroupi/01074_picture_2.jpg/@@images/image/thumb
1872,Pigeon Point Lighthouse,Paintings,Physical Art,782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,1967,painting; lighthouse; seascape; signed Ostor Glorig on lower left; hand carved dark wood frame,https://artcrimes.fbi.gov/nsaf/pigeon-point-lighthouse/PigeonPointLighthouse.jpg/@@images/image/thumb
1873,"Album of Plants, Animals and Birds: Plum Blossom and Moon","drawing,watercolour",Physical Art,356,Chen Chia-yen; China,Ink on paper,28.00 x 24.00 cm,1368-1643,1506,drawing; Asian; moon; branches; flowers; Signature of artist,https://artcrimes.fbi.gov/nsaf/album-of-plants-animals-and-birds-plum-blossom-and-moon/AlbumPlum.gif/@@images/image/thumb
1874,"""Summer Breeze"" by Michael Parkes",Print,Physical Art,949,Michael Parkes,7-color stone print lithograph,24 x 15.75 in,1999,1999,"lithograph; seated winged female nude in profile, arms crossed over shins, swans flying from left to right towards female figure; edition # 9/60, artist's signature; background color is eggshell/beige",https://artcrimes.fbi.gov/nsaf/summer-breeze-by-michael-parkes/SummerBreeze.gif/@@images/image/thumb
1875,Landscape with Two Cows Watering Near a River,Paintings,Physical Art,762,Jean Baptiste Camille Corot,Oil on canvas,16.5 x 22 in,19th Century,1873,"painting; impressionism; landscape; trees; river; cows; figure; Signed ""Corot"" lower left corner",https://artcrimes.fbi.gov/nsaf/landscape-with-two-cows-watering-near-a-river/TwoCows.gif/@@images/image/thumb
1876,Beach Scene with People in Petticoats,Paintings,Physical Art,722,Anonymous,,,,,painting,https://artcrimes.fbi.gov/nsaf/beach-scene-with-people-in-petticoats/Petticoats.gif/@@images/image/thumb
1877,Mosul Mosque Door,Doors,Furniture,1160,Mosul; Iraq,Wood,,,,door; floral; geometric,https://artcrimes.fbi.gov/nsaf/mosul-mosque-door/MosqueDoor.gif/@@images/image/thumb
1878,Native American Pipe Bag,Ethnographic Works of Art,Relgion,1061,Native American,Leather beads,,1885,1885,pipe bag; Native American,https://artcrimes.fbi.gov/nsaf/native-american-pipe-bag/PipeBag.gif/@@images/image/thumb
1879,Art Nouveau Tri-Corner Vase,Vase,Containers,909,Majorelle,,18 in,,,vase; art nouveau,https://artcrimes.fbi.gov/nsaf/art-nouveau-tri-corner-vase/TricornerVase.gif/@@images/image/thumb
1880,Mighty Handy with all Four Feet,"drawing,watercolour",Physical Art,177,Charles M. Russell,Pen,9 5/8 x 10 1/8 in,,,drawing; man; horse; bucking,https://artcrimes.fbi.gov/nsaf/mighty-handy-with-all-four-feet/FoutFeet.gif/@@images/image/thumb
1881,Little Boy and Girl Struggling Over Toy,Paintings,Physical Art,722,,,,,,painting,https://artcrimes.fbi.gov/nsaf/little-boy-and-girl-struggling-over-toy/Struggle.gif/@@images/image/thumb
1882,Imperial Crown of the Virgin of las Mercedes,Altar,Relgion,475,Spanish Colonial,Silver and gold,Height,18th Century,1713,CZ.C2/V/2.4/B/006.007,https://artcrimes.fbi.gov/nsaf/imperial-crown-of-the-virgin-of-las-mercedes/ImperialCrownVirginMercedes.gif/@@images/image/thumb
1883,Ritmos Sucessivos,Paintings,Physical Art,249,Luis Sacilotto,,16 x 22 in,1952,1952,painting; abstract art; lines; square; red; green; blue,https://artcrimes.fbi.gov/nsaf/ritmos-sucessivos/RitmosSucessivos.gif/@@images/image/thumb
1884,"Frog Brooch on Jade Lily Pad, Ruby and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; diamond; ruby; jade,,20th Century,1912,"brooch; frog; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/frog-brooch-on-jade-lily-pad-ruby-and-diamond-id-013549/seal-fbi.jpg/@@images/image/thumb
1885,The Sutton Hoo Ship-Burial,Books,Physical Art,895,Rupert Leo Scott Bruce-Mitford,Printed paper,32.00 cm,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/the-sutton-hoo-ship-burial/seal-fbi.jpg/@@images/image/thumb
1886,Red Octopus,Paintings,Physical Art,6,Alexander Calder,Gouache,66.87 x 100.30 cm,1963,1963,painting; modern art; octupus; signed and dated lower right,https://artcrimes.fbi.gov/nsaf/red-octopus/RedOctopus.gif/@@images/image/thumb
1887,Sword and Scabbard,Other - Arts and Antiques,Miscellaneous,274,Anonymous,"Steel, ivory, gold, gemstones",38 in,,,"weapon; ivory grips, gold decoration chain leading from hand guard to pommel, diamonds and rubies on grips and scabbard",https://artcrimes.fbi.gov/nsaf/sword-and-scabbard/00274-pic.jpg/@@images/image/thumb
1888,Visions in Bronze: Triumph,Sculpture,Figures,528,Erte,Bronze,21.75 in,,,sculpture; woman; standing; headdress; #116/375,https://artcrimes.fbi.gov/nsaf/visions-in-bronze-triumph/Triumph.gif/@@images/image/thumb
1889,Pre-Columbian Jaguar Mask,mask,Accessories,409,Pre-Columbian,Stone,,,,mask; Pre-Columbian; face,https://artcrimes.fbi.gov/nsaf/pre-columbian-jaguar-mask/Jaguar.gif/@@images/image/thumb
1890,Laurence Dreiband Untitled Painting of Three Palm Trees,Paintings,Physical Art,964,Laurence Dreiband,Oil and acrylic on canvas,50 x 60 in,1971,1971,painting; palm trees,https://artcrimes.fbi.gov/nsaf/laurence-dreiband-untitled-painting-of-three-palm-trees/PalmTrees.gif/@@images/image/thumb
1891,"Red, Yellow, Blue, Brown",Paintings,Physical Art,819,"Calder, Alexander",Gouache on paper,29 x 41 in,1961,1961,"Painting; Abstract; Signed and dated on lower right ""Calder 61""; Paper is in good condition. Metal frame with glass covering. The frame has scuff marks, but overall in good shape.",https://artcrimes.fbi.gov/nsaf/red-yellow-blue-brown/RedYellowBlueBrown.jpg/@@images/image/thumb
1892,Gold Coin Depicting Portrait of Emperor Facing the Right Wearing a Crown with Pearls,Coins and Paper Money,,1057,,Gold,y,,,coin; portrait; man; royalty; emperor; wings; wreath; cross,https://artcrimes.fbi.gov/nsaf/gold-coin-depicting-portrait-of-emperor-facing-the-right-wearing-a-crown-with-pearls/EmperorRight3.gif/@@images/image/thumb
1893,Musical Automata,Timepieces - Clock,Furniture,575,Frisard Bienne and Jaquet Droz,Bronze and steel,Diameter,c. 1794,1794,Pastoral setting with figures and birds under a gilded palm tree.,https://artcrimes.fbi.gov/nsaf/musical-automata/MusicalAutomata.gif/@@images/image/thumb
1894,Alchime Des Philosophies (Alchemy of the Philosophers) - Unicorn,Print,Physical Art,167,Salvador Dali,Lithograph,30 x 22 in,,,print; surrealism; horse; figures; unicorn; signed; #210/225,https://artcrimes.fbi.gov/nsaf/alchime-des-philosophies-alchemy-of-the-philosophers-unicorn/Alchemy2.gif/@@images/image/thumb
1895,"Frog Prince Brooch, Tsavorite, Sapphire and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; sapphire; diamond; ruby,,20th Century,1972,"brooch; frog; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/frog-prince-brooch-tsavorite-sapphire-and-diamond/seal-fbi.jpg/@@images/image/thumb
1896,Dymaxion Map,Posters,Physical Art,714,Matthew Day Jackson,Paper map with roofing tar.,"Approximately 24"" x 36""",2009-2010,2010,Labeled Buckminister Fuller's Dymaxion Map. DE106,https://artcrimes.fbi.gov/nsaf/dymaxion-map/DymaxionMap.gif/@@images/image/thumb
1897,Study for the Dispatch of a Queen by Post,"drawing,watercolour",Physical Art,819,Graham Sutherland,Watercolor and mixed media,7.75 x 12.5 in,1977,1977,"Watercolor; Initialed and dated lower right ""G.S. 1977""; The work is in fair condition. The paper seems to be somewhat fragile and is warped. There is a lot warping in the paper, some creases and a few cuts at the edges. This may have been from the artist. The frame is in good condition. Simple gilded wood frame with cloth matte and glass covering. The frame is structurally sound. A bit dirty, but no real damage.",https://artcrimes.fbi.gov/nsaf/study-for-the-dispatch-of-a-queen-by-post/StudyDispatchQueenPost.jpg/@@images/image/thumb
1898,Uranus from Miranda,Paintings,Physical Art,819,"Lilika Papanicolaou,",,52 x 39 in,,,"Painting; Space; Signed lower right ""Lilika"" signed and titled on verso directly onto the canvas ""Uranus from Miranda / Lilika Papanicolaou""; The work is in fair condition. The shiny surface of the paint looks dirty. Paint was applied with a palette knife. The frame is in fair/poor condition (because it is not framed very well). Wood frame with painted silver edging, no glass nor matte.",https://artcrimes.fbi.gov/nsaf/uranus-from-miranda/UranusMiranda.jpg/@@images/image/thumb
1899,Russian Blue Cloresenne Mirror,Other - Arts and Antiques,Miscellaneous,956,Russian,Enamel gold,,,,hand mirror,https://artcrimes.fbi.gov/nsaf/russian-blue-cloresenne-mirror/Mirror.gif/@@images/image/thumb
1900,Ulysses Discovered by Nausicaa,"drawing,watercolour",Physical Art,141,Willem van Mieris,,5 3/4 x 7 1/2 in,1692,1692,drawing; exterior; nude man; kneeling; partial nude woman; walking; horses; trees; Signed and dated,https://artcrimes.fbi.gov/nsaf/ulysses-discovered-by-nausicaa/UlyssesNausicaa.gif/@@images/image/thumb
1901,Horse Riding,Paintings,Physical Art,926,Iran,Ivory,8 x 10 in,19th Century,1808,painting; Persian; horse; riding,https://artcrimes.fbi.gov/nsaf/horse-riding/HorseRiding.gif/@@images/image/thumb
